Id_de_sentencia,IdSentenciado,SentidoSentencia,Sexo,Edad
13052,123988721,Condenatoria,Hombre,40
14224,124168804,Condenatoria,Hombre,40
9777,124200357,Condenatoria,Hombre,46
9748,124201071,Condenatoria,Hombre,27
8335,124216678,Condenatoria,Hombre,46
16250,124260354,Condenatoria,Hombre,32
8137,124272582,Condenatoria,Hombre,43
16167,124379099,Condenatoria,Hombre,37
1567,124380662,Condenatoria,Hombre,47
16685,124380896,Condenatoria,Hombre,36
16181,124445004,Condenatoria,Hombre,29
8142,124445300,Condenatoria,Hombre,27
14645,124445366,Condenatoria,Hombre,36
16411,124446007,Condenatoria,Hombre,36
16411,124446009,Condenatoria,Hombre,34
16411,124446014,Condenatoria,Hombre,29
13304,124475727,Condenatoria,Hombre,48
14350,124505929,Condenatoria,Hombre,25
14743,124522852,Condenatoria,Hombre,26
669,124630801,Absolutoria,Hombre,41
12707,124661469,Condenatoria,Hombre,42
2155,124695195,Condenatoria,Hombre,41
8151,124708011,Condenatoria,Hombre,31
17040,124827930,Condenatoria,Hombre,34
3666,124838476,Condenatoria,Mujer,25
3666,124838785,Condenatoria,Mujer,25
3534,124847995,Condenatoria,Hombre,30
8328,124854397,Condenatoria,Hombre,33
8155,124936794,Condenatoria,Hombre,32
8155,124936796,Condenatoria,Hombre,36
14384,124937212,Condenatoria,Hombre,30
18590,124937239,Condenatoria,Hombre,31
14226,125002139,Condenatoria,Hombre,39
1955,125033971,Condenatoria,Hombre,33
1955,125033981,Condenatoria,Hombre,30
1497,125064930,Mixta,Hombre,41
3673,125093054,Condenatoria,Hombre,27
5004,125096209,Condenatoria,Hombre,48
3105,125112569,Condenatoria,Mujer,39
16519,125317519,Condenatoria,Hombre,27
9757,125357520,Condenatoria,Hombre,48
9244,125357522,Condenatoria,Mujer,34
13349,125417055,Condenatoria,Hombre,56
26041,125430320,Condenatoria,Hombre,41
8170,125505010,Condenatoria,Hombre,32
18718,125516148,Condenatoria,Hombre,30
16364,125550952,Condenatoria,Hombre,28
16364,125550990,Condenatoria,Hombre,29
16364,125551061,Condenatoria,Hombre,32
8293,125616433,Condenatoria,Hombre,32
26043,125647064,Condenatoria,Hombre,30
18691,125677390,Condenatoria,Hombre,39
19361,125684050,Condenatoria,Hombre,45
17103,125740262,Condenatoria,Hombre,33
470,125741226,Absolutoria,Mujer,34
8298,125742819,Condenatoria,Hombre,25
3681,125850698,Condenatoria,Hombre,6
11801,125861842,Condenatoria,Hombre,34
16579,125861900,Condenatoria,Hombre,36
16579,125861905,Condenatoria,Hombre,29
9605,125861994,Condenatoria,Hombre,39
3922,125887245,Condenatoria,Hombre,33
9755,125901325,Condenatoria,Hombre,38
7944,125920789,Condenatoria,Hombre,41
3685,125969751,Condenatoria,Hombre,34
18720,126023498,Condenatoria,Hombre,25
16390,126035662,Condenatoria,Hombre,58
8304,126050437,Condenatoria,Hombre,28
13343,126063633,Condenatoria,Hombre,41
24064,126103702,Condenatoria,Hombre,28
24064,126103785,Condenatoria,Hombre,34
24064,126103804,Condenatoria,Hombre,68
14577,126136692,Absolutoria,Hombre,48
26101,126163973,Condenatoria,Mujer,57
14281,126187401,Condenatoria,Hombre,43
18693,126201717,Condenatoria,Hombre,45
14559,126201721,Condenatoria,Hombre,40
8526,126227070,Condenatoria,Hombre,30
13323,126281281,Condenatoria,Hombre,38
14869,126292605,Condenatoria,Hombre,47
18694,126320123,Condenatoria,Hombre,37
2269,126358321,Condenatoria,Hombre,26
7893,126388538,Condenatoria,Hombre,35
11824,126419464,Condenatoria,Hombre,40
13233,126479097,Condenatoria,Hombre,50
13567,126480606,Condenatoria,Hombre,31
1499,126483170,Condenatoria,Hombre,47
