IdVictima,GeneroDelito,TipoDelito
29993,Narcóticos,CPF Art. 195 P. 1
29661,Narcóticos,CPF Art. 195 P. 1
31162,Narcóticos,CPF Art. 195 P. 1
30227,Narcóticos,CPF Art. 195 P. 1
31458,Narcóticos,CPF Art. 195 P. 1
31904,Narcóticos,CPF Art. 195 P. 1
31714,Narcóticos,CPF Art. 195 P. 1
31909,Narcóticos,CPF Art. 195 P. 1
13814,Narcóticos,CPF Art. 195 P. 1
14791,Narcóticos,CPF Art. 195 P. 1
6728,Narcóticos,CPF Art. 195 P. 1
1329,Narcóticos,CPF Art. 195 P. 1
1386,Narcóticos,CPF Art. 195 P. 1
1391,Narcóticos,CPF Art. 195 P. 1
25073,Narcóticos,CPF Art. 195 P. 1
18955,Narcóticos,CPF Art. 195 P. 1
18110,Narcóticos,CPF Art. 195 P. 1
2947,Narcóticos,CPF Art. 195 P. 1
19330,Narcóticos,CPF Art. 195 P. 1
25083,Narcóticos,CPF Art. 195 P. 1
1397,Narcóticos,CPF Art. 195 P. 1
5192,Narcóticos,CPF Art. 195 P. 1
13288,Narcóticos,CPF Art. 195 P. 1
17935,Narcóticos,CPF Art. 195 P. 1
688,Narcóticos,CPF Art. 195 P. 1
2023,Narcóticos,CPF Art. 195 P. 1
1401,Narcóticos,CPF Art. 195 P. 1
1412,Narcóticos,CPF Art. 195 P. 1
1453,Narcóticos,CPF Art. 195 P. 1
5868,Narcóticos,CPF Art. 195 P. 1
7123,Narcóticos,CPF Art. 195 P. 1
19661,Narcóticos,CPF Art. 195 P. 1
29257,Narcóticos,CPF Art. 195 P. 1
5967,Narcóticos,CPF Art. 195 P. 1
7121,Narcóticos,CPF Art. 195 P. 1
19669,Narcóticos,CPF Art. 195 P. 1
14994,Narcóticos,CPF Art. 195 P. 1
16530,Narcóticos,CPF Art. 195 P. 1
5969,Narcóticos,CPF Art. 195 P. 1
19685,Narcóticos,CPF Art. 195 P. 1
13166,Narcóticos,CPF Art. 195 P. 1
15498,Narcóticos,CPF Art. 195 P. 1
5971,Narcóticos,CPF Art. 195 P. 1
19360,Narcóticos,CPF Art. 195 P. 1
14714,Narcóticos,CPF Art. 195 P. 1
19364,Narcóticos,CPF Art. 195 P. 1
9096,Narcóticos,CPF Art. 195 P. 1
12773,Narcóticos,CPF Art. 195 P. 1
11094,Narcóticos,CPF Art. 195 P. 1
19313,Narcóticos,CPF Art. 195 P. 1
11048,Narcóticos,CPF Art. 195 P. 1
5012,Narcóticos,CPF Art. 195 P. 1
8257,Narcóticos,CPF Art. 195 P. 1
8258,Narcóticos,CPF Art. 195 P. 1
16582,Narcóticos,CPF Art. 195 P. 1
8260,Narcóticos,CPF Art. 195 P. 1
2908,Narcóticos,CPF Art. 195 P. 1
29262,Narcóticos,CPF Art. 195 P. 1
19677,Narcóticos,CPF Art. 195 P. 1
8385,Narcóticos,CPF Art. 195 P. 1
8481,Narcóticos,CPF Art. 195 P. 1
29536,Narcóticos,CPF Art. 195 P. 1
8402,Narcóticos,CPF Art. 195 P. 1
8439,Narcóticos,CPF Art. 195 P. 1
79,Narcóticos,CPF Art. 195 P. 1
3104,Narcóticos,CPF Art. 195 P. 1
29540,Narcóticos,CPF Art. 195 P. 1
6022,Narcóticos,CPF Art. 195 P. 1
6793,Narcóticos,CPF Art. 195 P. 1
18790,Narcóticos,CPF Art. 195 P. 1
8505,Narcóticos,CPF Art. 195 P. 1
2071,Narcóticos,CPF Art. 195 P. 1
8509,Narcóticos,CPF Art. 195 P. 1
17329,Narcóticos,CPF Art. 195 P. 1
7130,Narcóticos,CPF Art. 195 P. 1
15573,Narcóticos,CPF Art. 195 P. 1
7167,Narcóticos,CPF Art. 195 P. 1
8511,Narcóticos,CPF Art. 195 P. 1
18084,Narcóticos,CPF Art. 195 P. 1
13170,Narcóticos,CPF Art. 195 P. 1
1963,Narcóticos,CPF Art. 195 P. 1
15602,Narcóticos,CPF Art. 195 P. 1
6130,Narcóticos,CPF Art. 195 P. 1
7260,Narcóticos,CPF Art. 195 P. 1
11158,Narcóticos,CPF Art. 195 P. 1
16357,Narcóticos,CPF Art. 195 P. 1
19305,Narcóticos,CPF Art. 195 P. 1
29427,Narcóticos,CPF Art. 195 P. 1
8581,Narcóticos,CPF Art. 195 P. 1
12807,Narcóticos,CPF Art. 195 P. 1
19684,Narcóticos,CPF Art. 195 P. 1
13937,Narcóticos,CPF Art. 195 P. 1
30066,Narcóticos,CPF Art. 195 P. 1
12932,Narcóticos,CPF Art. 195 P. 1
12933,Narcóticos,CPF Art. 195 P. 1
1542,Narcóticos,CPF Art. 195 P. 1
10275,Narcóticos,CPF Art. 195 P. 1
9148,Narcóticos,CPF Art. 195 P. 1
9027,Narcóticos,CPF Art. 195 P. 1
11041,Narcóticos,CPF Art. 195 P. 1
855,Narcóticos,CPF Art. 195 P. 1
7769,Narcóticos,CPF Art. 195 P. 1
6109,Narcóticos,CPF Art. 195 P. 1
15792,Narcóticos,CPF Art. 195 P. 1
13172,Narcóticos,CPF Art. 195 P. 1
4490,Narcóticos,CPF Art. 195 P. 1
9931,Narcóticos,CPF Art. 195 P. 1
14724,Narcóticos,CPF Art. 195 P. 1
19316,Narcóticos,CPF Art. 195 P. 1
16218,Narcóticos,CPF Art. 195 P. 1
16886,Narcóticos,CPF Art. 195 P. 1
8908,Narcóticos,CPF Art. 195 P. 1
17907,Narcóticos,CPF Art. 195 P. 1
11877,Narcóticos,CPF Art. 195 P. 1
8961,Narcóticos,CPF Art. 195 P. 1
23354,Narcóticos,CPF Art. 195 P. 1
6814,Narcóticos,CPF Art. 195 P. 1
912,Narcóticos,CPF Art. 195 P. 1
10058,Narcóticos,CPF Art. 195 P. 1
13351,Narcóticos,CPF Art. 195 P. 1
18946,Narcóticos,CPF Art. 195 P. 1
9834,Narcóticos,CPF Art. 195 P. 1
8804,Narcóticos,CPF Art. 195 P. 1
22691,Narcóticos,CPF Art. 195 P. 1
3569,Narcóticos,CPF Art. 195 P. 1
23838,Narcóticos,CPF Art. 195 P. 1
576,Narcóticos,CPF Art. 195 P. 1
8783,Narcóticos,CPF Art. 195 P. 1
10108,Narcóticos,CPF Art. 195 P. 1
19687,Narcóticos,CPF Art. 195 P. 1
9871,Narcóticos,CPF Art. 195 P. 1
8072,Narcóticos,CPF Art. 195 P. 1
884,Narcóticos,CPF Art. 195 P. 1
21995,Narcóticos,CPF Art. 195 P. 1
25255,Narcóticos,CPF Art. 195 P. 1
8120,Narcóticos,CPF Art. 195 P. 1
7766,Narcóticos,CPF Art. 195 P. 1
3086,Narcóticos,CPF Art. 195 P. 1
1908,Narcóticos,CPF Art. 195 P. 1
14607,Narcóticos,CPF Art. 195 P. 1
25393,Narcóticos,CPF Art. 195 P. 1
25395,Narcóticos,CPF Art. 195 P. 1
4247,Narcóticos,CPF Art. 195 P. 1
14257,Narcóticos,CPF Art. 195 P. 1
4248,Narcóticos,CPF Art. 195 P. 1
6982,Narcóticos,CPF Art. 195 P. 1
16620,Narcóticos,CPF Art. 195 P. 1
8990,Narcóticos,CPF Art. 195 P. 1
8991,Narcóticos,CPF Art. 195 P. 1
18331,Narcóticos,CPF Art. 195 P. 1
6769,Narcóticos,CPF Art. 195 P. 1
